Name,Hours Available,Min Hours,Max Hours,Roles,Days Off
Alice,9-16,30,36,"Supervisor,Cashier",Monday
Bill,9-18,40,40,Supervisor,Saturday
Carol,12-18,30,32,"Cashier,On-Floor",Monday
David,9-18,30,32,Cashier,Friday
Eric,11-18,30,32,"Cashier,On-Floor",Sunday
Frank,9-16,40,40,On-Floor,Thursday
Grace,12-18,30,40,"Supervisor,Cashier,On-Floor",
Hannah,9-18,40,40,"Cashier,On-Floor",
Issac,12-18,30,40,On-Floor,Wednesday
Jack,9-14,30,32,"Cashier,On-Floor",
Kate,12-18,40,40,On-Floor,Tuesday
Emily,9-18,30,40,"Supervisor,Cashier,On-Floor",
